name	url
SP	ftp://ftp.ebi.ac.uk/pub/databases/uniprot/knowledgebase
IPI	ftp://ftp.ebi.ac.uk/pub/databases/IPI/current
REFSEQ	ftp://ftp.ncbi.nih.gov/refseq
KEGG	ftp://ftp.genome.jp/pub/kegg
Gene	ftp://ftp.ncbi.nih.gov/gene/DATA
GO	http://www.geneontology.org/ontology/gene_ontology_edit.obo
GOA	ftp://ftp.ebi.ac.uk/pub/databases/GO/goa/proteomes
geneint	ftp://ftp.ncbi.nih.gov/gene/GeneRIF
intact	ftp://ftp.ebi.ac.uk/pub/databases/intact/current/psimitab
MPPI	http://mips.gsf.de/proj/ppi/data/mppi.gz
3DID	http://gatealoy.pcb.ub.es/3did/download
DOMINE	http://domine.utdallas.edu
DBSubLoc	http://www.bioinfo.tsinghua.edu.cn/~guotao
BaCelLo	http://gpcr2.biocomp.unibo.it/bacello
InterPro	ftp://ftp.ebi.ac.uk/pub/databases/interpro
Pfam	ftp://ftp.sanger.ac.uk/pub/databases/Pfam/current_release
SCOP	http://scop.mrc-lmb.cam.ac.uk/scop
HomoloGene	ftp://ftp.ncbi.nlm.nih.gov/pub/HomoloGene/current
InParanoid	http://inparanoid.sbc.su.se
PeptideAtlas	http://www.peptideatlas.org/builds
SysPTM	http://www.biosino.org/papers/SysPTM
Sys-BodyFluid	http://www.biosino.org/papers/Sys-BodyFluid
TAX	ftp://ftp.ncbi.nih.gov/pub/taxonomy
PROSITE	ftp://ftp.expasy.org/databases/prosite
